ANY-MES,COMARCA,INCIDENTS,CODI_COMARCA,SALVAMENTS
2018-05-01,MARESME,1963,21,4
2018-05-01,MOIANES,54,42,2
2018-05-01,MONTSIA,307,22,1
2018-05-01,NOGUERA,117,23,2
2018-05-01,OSONA,450,24,6
2018-05-01,PALLARS JUSSA,38,25,1
2018-05-01,PALLARS SOBIRA,21,26,1
2018-05-01,PRIORAT,38,29,1
2018-05-01,RIPOLLES,114,31,10
2018-05-01,SEGRIA,827,33,2
2018-05-01,SELVA,879,34,6
2018-05-01,TARRAGONES,1676,36,1
2018-05-01,TERRA ALTA,31,37,2
2018-05-01,VAL D'ARAN,10,39,1
2018-05-01,VALLES OCCIDENTAL,4062,40,2
2018-06-01,ALT CAMP,184,01,1
2018-06-01,ALT EMPORDA,925,02,10
2018-06-01,ALT PENEDES,523,03,1
2018-06-01,ALT URGELL,94,04,5
2018-06-01,ALTA RIBAGORÇA,28,05,7
2018-06-01,ANOIA,472,06,9
2018-06-01,BAGES,786,07,3
2018-06-01,BAIX CAMP,1261,08,3
2018-06-01,BAIX EMPORDA,826,10,6
2018-06-01,BAIX LLOBREGAT,3743,11,8
2018-06-01,BAIX PENEDES,848,12,1
2018-06-01,BARCELONES,13051,13,1
2018-06-01,BERGUEDA,134,14,7
2018-06-01,CERDANYA,71,15,2
2018-06-01,CONCA DE BARBERA,97,16,1
2018-06-01,GARRAF,1038,17,3
2018-06-01,GARROTXA,254,19,8
2018-06-01,GIRONES,823,20,5
2018-06-01,MARESME,2173,21,4
2018-06-01,MONTSIA,324,22,2
2018-06-01,NOGUERA,146,23,1
2018-06-01,OSONA,522,24,2
2018-06-01,PALLARS JUSSA,28,25,1
2018-06-01,PALLARS SOBIRA,36,26,5
2018-06-01,PLA DE L'ESTANY,101,28,1
2018-06-01,PRIORAT,49,29,2
2018-06-01,RIBERA D'EBRE,69,30,1
2018-06-01,RIPOLLES,130,31,5
2018-06-01,SEGRIA,919,33,1
2018-06-01,SELVA,997,34,2
2018-06-01,TARRAGONES,1951,36,3
2018-06-01,VAL D'ARAN,6,39,6
2018-06-01,VALLES OCCIDENTAL,4486,40,6
2018-06-01,VALLES ORIENTAL,1644,41,5
2018-07-01,ALT CAMP,244,01,1
2018-07-01,ALT EMPORDA,1182,02,4
2018-07-01,ALT PENEDES,600,03,1
2018-07-01,ALT URGELL,110,04,1
2018-07-01,ALTA RIBAGORÇA,24,05,17
2018-07-01,ANOIA,601,06,7
2018-07-01,BAGES,815,07,12
2018-07-01,BAIX CAMP,1425,08,5
2018-07-01,BAIX EBRE,453,09,3
2018-07-01,BAIX EMPORDA,1193,10,6
2018-07-01,BAIX LLOBREGAT,3969,11,8
2018-07-01,BERGUEDA,163,14,7
2018-07-01,CERDANYA,108,15,5
2018-07-01,CONCA DE BARBERA,128,16,1
2018-07-01,GARRAF,1048,17,7
2018-07-01,GARROTXA,240,19,3
2018-07-01,GIRONES,948,20,1
2018-07-01,MARESME,2491,21,4
2018-07-01,MOIANES,63,42,3
2018-07-01,MONTSIA,393,22,2
2018-07-01,NOGUERA,163,23,3
2018-07-01,OSONA,579,24,6
2018-07-01,PALLARS JUSSA,53,25,4
2018-07-01,PALLARS SOBIRA,52,26,13
2018-07-01,PLA D'URGELL,139,27,1
2018-07-01,PRIORAT,54,29,1
2018-07-01,RIBERA D'EBRE,98,30,1
2018-07-01,RIPOLLES,179,31,13
2018-07-01,SEGRIA,982,33,2
2018-07-01,SELVA,1375,34,11
2018-07-01,TARRAGONES,2311,36,2
2018-07-01,VAL D'ARAN,27,39,19
2018-07-01,VALLES OCCIDENTAL,4167,40,4
2018-07-01,VALLES ORIENTAL,1738,41,7
2018-08-01,ALT CAMP,262,01,2
2018-08-01,ALT EMPORDA,1478,02,14
2018-08-01,ALT URGELL,124,04,4
2018-08-01,ALTA RIBAGORÇA,32,05,5
2018-08-01,ANOIA,534,06,4
2018-08-01,BAGES,763,07,2
2018-08-01,BAIX CAMP,1529,08,2
2018-08-01,BAIX EBRE,532,09,2
2018-08-01,BAIX EMPORDA,1456,10,14
2018-08-01,BAIX LLOBREGAT,3572,11,7
2018-08-01,BAIX PENEDES,1336,12,1
2018-08-01,BERGUEDA,214,14,9
2018-08-01,CERDANYA,159,15,11
2018-08-01,CONCA DE BARBERA,108,16,1
2018-08-01,GARRAF,1120,17,5
2018-08-01,GARROTXA,244,19,6
2018-08-01,GIRONES,917,20,2
2018-08-01,MARESME,2519,21,3
2018-08-01,MONTSIA,426,22,1
2018-08-01,NOGUERA,167,23,4
2018-08-01,OSONA,503,24,7
2018-08-01,PALLARS JUSSA,62,25,8
2018-08-01,PALLARS SOBIRA,75,26,13
2018-08-01,PRIORAT,83,29,7
2018-08-01,RIBERA D'EBRE,91,30,2
2018-08-01,RIPOLLES,174,31,10
2018-08-01,SEGRIA,980,33,1
2018-08-01,SELVA,1482,34,1
2018-08-01,SOLSONES,62,35,4
2018-08-01,TARRAGONES,2658,36,3
2018-08-01,TERRA ALTA,44,37,2
2018-08-01,URGELL,96,38,2
2018-08-01,VAL D'ARAN,41,39,24
2018-08-01,VALLES OCCIDENTAL,3934,40,8
2018-08-01,VALLES ORIENTAL,1602,41,1
2018-09-01,ALT CAMP,190,01,1
2018-09-01,ALT EMPORDA,845,02,9
2018-09-01,ALT PENEDES,518,03,2
2018-09-01,ALT URGELL,98,04,10
2018-09-01,ALTA RIBAGORÇA,14,05,6
2018-09-01,ANOIA,473,06,6
2018-09-01,BAGES,754,07,10
2018-09-01,BAIX CAMP,1245,08,2
2018-09-01,BAIX EBRE,363,09,2
2018-09-01,BAIX EMPORDA,745,10,5
2018-09-01,BAIX LLOBREGAT,3669,11,8
2018-09-01,BAIX PENEDES,923,12,4
2018-09-01,BARCELONES,13443,13,3
2018-09-01,BERGUEDA,144,14,22
2018-09-01,CERDANYA,70,15,9
2018-09-01,GARRAF,891,17,2
2018-09-01,GARROTXA,235,19,7
2018-09-01,GIRONES,672,20,3
2018-09-01,MARESME,2349,21,4
2018-09-01,MOIANES,64,42,2
2018-09-01,MONTSIA,304,22,1
2018-09-01,NOGUERA,160,23,2
2018-09-01,OSONA,463,24,3
2018-09-01,PALLARS JUSSA,43,25,5
2018-09-01,PALLARS SOBIRA,37,26,11
2018-09-01,PLA DE L'ESTANY,95,28,1
2018-09-01,PRIORAT,55,29,1
2018-09-01,RIPOLLES,130,31,15
2018-09-01,SELVA,960,34,6
2018-09-01,SOLSONES,32,35,7
2018-09-01,VAL D'ARAN,28,39,6
2018-09-01,VALLES OCCIDENTAL,4107,40,7
2018-09-01,VALLES ORIENTAL,1815,41,5
2018-10-01,ALT CAMP,255,01,2
2018-10-01,ALT EMPORDA,750,02,5
2018-10-01,ALT PENEDES,540,03,2
2018-10-01,ALT URGELL,79,04,2
2018-10-01,ALTA RIBAGORÇA,14,05,2
2018-10-01,ANOIA,520,06,2
2018-10-01,BAGES,764,07,6
2018-10-01,BAIX CAMP,1246,08,1
2018-10-01,BAIX EBRE,393,09,2
2018-10-01,BAIX EMPORDA,629,10,8
2018-10-01,BAIX LLOBREGAT,3763,11,3
2018-10-01,BAIX PENEDES,858,12,5
2018-10-01,BERGUEDA,169,14,9
2018-10-01,CERDANYA,85,15,5
2018-10-01,GARRAF,906,17,3
2018-10-01,GARROTXA,230,19,9
2018-10-01,GIRONES,893,20,2
2018-10-01,MARESME,2365,21,2
2018-10-01,MOIANES,54,42,1
2018-10-01,MONTSIA,405,22,3
2018-10-01,NOGUERA,102,23,3
2018-10-01,OSONA,555,24,2
2018-10-01,PALLARS JUSSA,49,25,1
2018-10-01,PALLARS SOBIRA,22,26,6
2018-10-01,PLA D'URGELL,144,27,1
2018-10-01,PRIORAT,46,29,3
2018-10-01,RIPOLLES,157,31,5
2018-10-01,SEGARRA,67,32,1
2018-10-01,SELVA,928,34,5
2018-10-01,SOLSONES,53,35,1
2018-10-01,TARRAGONES,1993,36,3
2018-10-01,TERRA ALTA,30,37,3
2018-10-01,VAL D'ARAN,11,39,2
2018-10-01,VALLES OCCIDENTAL,4441,40,9
2018-10-01,VALLES ORIENTAL,1818,41,3
2018-11-01,ALT CAMP,237,01,2
2018-11-01,ALT EMPORDA,766,02,7
2018-11-01,ALT PENEDES,532,03,5
2018-11-01,ALT URGELL,80,04,3
2018-11-01,ALTA RIBAGORÇA,9,05,1
2018-11-01,ANOIA,543,06,8
2018-11-01,BAGES,786,07,5
2018-11-01,BAIX CAMP,1023,08,5
2018-11-01,BAIX EBRE,359,09,2
2018-11-01,BAIX EMPORDA,607,10,4
2018-11-01,BAIX LLOBREGAT,3857,11,10
2018-11-01,BAIX PENEDES,733,12,2
2018-11-01,BARCELONES,13422,13,1
2018-11-01,BERGUEDA,156,14,7
2018-11-01,CERDANYA,67,15,4
2018-11-01,CONCA DE BARBERA,80,16,3
2018-11-01,GARRAF,793,17,3
2018-11-01,GARRIGUES,39,18,1
2018-11-01,GARROTXA,230,19,11
2018-11-01,GIRONES,881,20,5
2018-11-01,MARESME,2091,21,5
2018-11-01,MOIANES,54,42,2
2018-11-01,MONTSIA,278,22,1
2018-11-01,NOGUERA,123,23,3
2018-11-01,OSONA,498,24,14
2018-11-01,PALLARS JUSSA,39,25,1
2018-11-01,PALLARS SOBIRA,15,26,1
2018-11-01,PLA DE L'ESTANY,113,28,2
2018-11-01,PRIORAT,48,29,2
2018-11-01,RIBERA D'EBRE,73,30,2
2018-11-01,RIPOLLES,158,31,7
2018-11-01,SEGRIA,894,33,3
2018-11-01,SELVA,868,34,10
2018-11-01,SOLSONES,52,35,3
2018-11-01,TARRAGONES,1587,36,1
2018-11-01,VAL D'ARAN,18,39,2
2018-11-01,VALLES OCCIDENTAL,4604,40,18
2018-11-01,VALLES ORIENTAL,1642,41,6
2018-12-01,ALT CAMP,284,01,2
2018-12-01,ALT EMPORDA,784,02,1
2018-12-01,ALT PENEDES,582,03,4
2018-12-01,ALT URGELL,116,04,2
2018-12-01,ALTA RIBAGORÇA,19,05,1
2018-12-01,ANOIA,537,06,4
2018-12-01,BAGES,900,07,8
2018-12-01,BAIX CAMP,1236,08,1
2018-12-01,BAIX EBRE,362,09,1
2018-12-01,BAIX EMPORDA,558,10,3
2018-12-01,BAIX LLOBREGAT,4024,11,6
2018-12-01,BERGUEDA,164,14,11
2018-12-01,CERDANYA,97,15,3
2018-12-01,CONCA DE BARBERA,81,16,2
2018-12-01,GARRAF,804,17,4
2018-12-01,GARRIGUES,53,18,1
2018-12-01,GARROTXA,257,19,7
2018-12-01,MARESME,2213,21,5
2018-12-01,MOIANES,59,42,1
2018-12-01,OSONA,595,24,5
2018-12-01,PALLARS JUSSA,60,25,4
2018-12-01,PALLARS SOBIRA,34,26,1
2018-12-01,PLA DE L'ESTANY,117,28,1
2018-12-01,PRIORAT,56,29,2
2018-12-01,RIPOLLES,161,31,6
2018-12-01,SEGRIA,888,33,1
2018-12-01,SELVA,808,34,4
2018-12-01,SOLSONES,54,35,4
2018-12-01,TARRAGONES,1666,36,2
2018-12-01,VAL D'ARAN,27,39,4
2018-12-01,VALLES OCCIDENTAL,4597,40,9
2018-12-01,VALLES ORIENTAL,1718,41,6
2019-01-01,ALT CAMP,270,01,1
2019-01-01,ALT EMPORDA,816,02,4
2019-01-01,ANOIA,626,06,2
2019-01-01,BAGES,905,07,3
2019-01-01,BAIX CAMP,1211,08,1
2019-01-01,BAIX EBRE,383,09,3
2019-01-01,BAIX EMPORDA,682,10,2
2019-01-01,BAIX LLOBREGAT,4262,11,7
2019-01-01,BAIX PENEDES,871,12,1
2019-01-01,BARCELONES,15010,13,1
2019-01-01,BERGUEDA,204,14,4
2019-01-01,CERDANYA,127,15,1
2019-01-01,GARRAF,896,17,1
2019-01-01,MARESME,2203,21,2
2019-01-01,OSONA,551,24,4
2019-01-01,PRIORAT,44,29,1
2019-01-01,RIPOLLES,163,31,3
2019-01-01,SEGARRA,69,32,1
2019-01-01,TARRAGONES,1724,36,2
2019-01-01,VAL D'ARAN,52,39,8
2019-01-01,VALLES OCCIDENTAL,4704,40,1
2019-01-01,VALLES ORIENTAL,1874,41,2
2019-02-01,ALT CAMP,228,01,1
2019-02-01,ALT EMPORDA,711,02,1
2019-02-01,ALT PENEDES,550,03,2
2019-02-01,ALT URGELL,84,04,2
2019-02-01,ALTA RIBAGORÇA,10,05,1
2019-02-01,ANOIA,532,06,1
2019-02-01,BAGES,772,07,5
2019-02-01,BAIX CAMP,1041,08,1
2019-02-01,BAIX EBRE,380,09,3
2019-02-01,BAIX EMPORDA,535,10,3
2019-02-01,BAIX LLOBREGAT,3679,11,7
2019-02-01,BARCELONES,12456,13,1
2019-02-01,BERGUEDA,142,14,5
2019-02-01,CERDANYA,118,15,4
2019-02-01,CONCA DE BARBERA,111,16,2
2019-02-01,MARESME,1955,21,3
2019-02-01,NOGUERA,101,23,2
2019-02-01,OSONA,554,24,3
2019-02-01,PALLARS JUSSA,37,25,1
2019-02-01,PALLARS SOBIRA,30,26,6
2019-02-01,RIPOLLES,133,31,5
2019-02-01,SEGRIA,841,33,1
2019-02-01,SELVA,753,34,3
2019-02-01,SOLSONES,33,35,1
2019-02-01,VAL D'ARAN,50,39,12
2019-02-01,VALLES OCCIDENTAL,3973,40,6
2019-02-01,VALLES ORIENTAL,1625,41,4
2019-03-01,ALT CAMP,253,01,1
2019-03-01,ALT EMPORDA,850,02,4
2019-03-01,ALT PENEDES,532,03,4
2019-03-01,ALTA RIBAGORÇA,14,05,2
2019-03-01,ANOIA,602,06,4
2019-03-01,BAGES,860,07,8
2019-03-01,BAIX CAMP,1218,08,4
2019-03-01,BAIX EMPORDA,576,10,3
2019-03-01,BAIX LLOBREGAT,3808,11,9
2019-03-01,BARCELONES,13189,13,1
2019-03-01,BERGUEDA,159,14,1
2019-03-01,CERDANYA,97,15,3
2019-03-01,CONCA DE BARBERA,81,16,1
2019-03-01,GARROTXA,238,19,1
2019-03-01,GIRONES,878,20,1
2019-03-01,MARESME,2062,21,3
2019-03-01,MOIANES,66,42,2
2019-03-01,OSONA,572,24,5
2019-03-01,PALLARS JUSSA,61,25,2
2019-03-01,PALLARS SOBIRA,37,26,2
2019-03-01,PRIORAT,51,29,2
2019-03-01,RIPOLLES,132,31,1
2019-03-01,SELVA,879,34,4
2019-03-01,SOLSONES,54,35,1
2019-03-01,TARRAGONES,1679,36,1
2019-03-01,TERRA ALTA,33,37,1
2019-03-01,VAL D'ARAN,38,39,13
2019-03-01,VALLES OCCIDENTAL,4247,40,7
2019-03-01,VALLES ORIENTAL,1681,41,7
2019-04-01,ALT EMPORDA,807,02,3
2019-04-01,ALT URGELL,116,04,2
2019-04-01,ALTA RIBAGORÇA,16,05,1
2019-04-01,ANOIA,505,06,2
2019-04-01,BAGES,775,07,3
2019-04-01,BAIX CAMP,1143,08,1
2019-04-01,BAIX EBRE,352,09,1
2019-04-01,BAIX EMPORDA,688,10,4
2019-04-01,BAIX LLOBREGAT,3535,11,8
2019-04-01,BARCELONES,12693,13,2
2019-04-01,BERGUEDA,153,14,4
2019-04-01,CERDANYA,73,15,1
2019-04-01,GARRAF,856,17,2
2019-04-01,GARROTXA,222,19,3
2019-04-01,GIRONES,758,20,1
2019-04-01,MARESME,2171,21,3
2019-04-01,MONTSIA,242,22,1
2019-04-01,NOGUERA,105,23,1
2019-04-01,OSONA,493,24,2
2019-04-01,PALLARS JUSSA,45,25,5
2019-04-01,PALLARS SOBIRA,31,26,2
2019-04-01,PRIORAT,47,29,4
2019-04-01,RIPOLLES,119,31,6
2019-04-01,SELVA,820,34,4
2019-04-01,SOLSONES,46,35,2
2019-04-01,TARRAGONES,1764,36,2
2019-04-01,TERRA ALTA,35,37,1
2019-04-01,URGELL,108,38,2
2019-04-01,VAL D'ARAN,23,39,3
2019-04-01,VALLES OCCIDENTAL,4137,40,4
2019-04-01,VALLES ORIENTAL,1535,41,5
2019-05-01,ALT CAMP,288,01,1
2019-05-01,ALT EMPORDA,836,02,7
2019-05-01,ANOIA,544,06,5
2019-05-01,BAIX CAMP,1188,08,2
2019-05-01,BAIX EBRE,374,09,1
2019-05-01,BAIX EMPORDA,646,10,10
2019-05-01,BAIX LLOBREGAT,3797,11,4
2019-05-01,BARCELONES,13389,13,1
2019-05-01,BERGUEDA,163,14,2
2019-05-01,CERDANYA,66,15,1
2019-05-01,GARRAF,804,17,1
2019-05-01,GARROTXA,207,19,3
2019-05-01,GIRONES,822,20,2
2019-05-01,MARESME,2144,21,3
2019-05-01,MOIANES,39,42,2
2019-05-01,NOGUERA,114,23,5
2019-05-01,OSONA,496,24,2
2019-05-01,RIBERA D'EBRE,72,30,3
2019-05-01,RIPOLLES,117,31,1
2019-05-01,SEGARRA,38,32,1
2019-05-01,SELVA,950,34,5
2019-05-01,SOLSONES,45,35,2
2019-05-01,TARRAGONES,1874,36,2
2019-05-01,TERRA ALTA,33,37,1
2019-05-01,VALLES OCCIDENTAL,4246,40,6
2019-05-01,VALLES ORIENTAL,1688,41,1
2019-06-01,ALT CAMP,264,01,1
2019-06-01,ALT EMPORDA,1142,02,6
2019-06-01,ALT PENEDES,611,03,1
2019-06-01,ALT URGELL,125,04,4
2019-06-01,ALTA RIBAGORÇA,30,05,4
2019-06-01,ANOIA,640,06,8
2019-06-01,BAGES,924,07,3
2019-06-01,BAIX CAMP,1425,08,3
2019-06-01,BAIX EBRE,446,09,4
2019-06-01,BAIX EMPORDA,1035,10,7
2019-06-01,BAIX LLOBREGAT,4147,11,5
2019-06-01,BAIX PENEDES,977,12,1
2019-06-01,BARCELONES,14351,13,1
2019-06-01,BERGUEDA,203,14,2
2019-06-01,CERDANYA,114,15,5
2019-06-01,CONCA DE BARBERA,123,16,1
2019-06-01,GARRAF,1024,17,4
2019-06-01,GARROTXA,246,19,4
2019-06-01,GIRONES,903,20,3
2019-06-01,MARESME,2476,21,7
2019-06-01,MOIANES,65,42,1
2019-06-01,NOGUERA,194,23,1
2019-06-01,OSONA,646,24,2
2019-06-01,PALLARS JUSSA,65,25,2
2019-06-01,PALLARS SOBIRA,54,26,6
2019-06-01,PLA DE L'ESTANY,113,28,1
2019-06-01,RIPOLLES,157,31,13
2019-06-01,SEGRIA,1248,33,1
2019-06-01,SELVA,1197,34,4
2019-06-01,SOLSONES,64,35,1
2019-06-01,TARRAGONES,2185,36,3
2019-06-01,TERRA ALTA,49,37,1
2019-06-01,VAL D'ARAN,21,39,5
2019-06-01,VALLES OCCIDENTAL,4973,40,12
2019-06-01,VALLES ORIENTAL,1965,41,5
2019-07-01,ALT CAMP,276,01,3
2019-07-01,ALT EMPORDA,1275,02,14
2019-07-01,ALT PENEDES,658,03,1
2019-07-01,ALT URGELL,120,04,2
2019-07-01,ALTA RIBAGORÇA,26,05,7
2019-07-01,ANOIA,646,06,4
2019-07-01,BAGES,965,07,9
2019-07-01,BAIX CAMP,1602,08,1
2019-07-01,BAIX EBRE,520,09,3
2019-07-01,BAIX EMPORDA,1197,10,10
2019-07-01,BAIX LLOBREGAT,4322,11,8
2019-07-01,BAIX PENEDES,1188,12,4
2019-07-01,BARCELONES,14938,13,2
2019-07-01,BERGUEDA,199,14,7
2019-07-01,CERDANYA,120,15,4
2019-07-01,GARRAF,1136,17,5
2019-07-01,GARROTXA,267,19,5
2019-07-01,GIRONES,897,20,1
2019-07-01,MARESME,2693,21,3
2019-07-01,MOIANES,68,42,1
2019-07-01,MONTSIA,344,22,2
2019-07-01,NOGUERA,193,23,6
2019-07-01,OSONA,647,24,4
2019-07-01,PALLARS JUSSA,54,25,4
2019-07-01,PALLARS SOBIRA,62,26,11
2019-07-01,PRIORAT,45,29,1
2019-07-01,RIBERA D'EBRE,119,30,1
2019-07-01,RIPOLLES,140,31,7
2019-07-01,SELVA,1410,34,7
2019-07-01,TARRAGONES,2592,36,5
2019-07-01,URGELL,128,38,1
2019-07-01,VAL D'ARAN,19,39,14
2019-07-01,VALLES OCCIDENTAL,4897,40,8
2019-07-01,VALLES ORIENTAL,1924,41,3
2019-08-01,ALT CAMP,298,01,2
2019-08-01,ALT EMPORDA,1579,02,23
2019-08-01,ALT PENEDES,604,03,3
2019-08-01,ALT URGELL,159,04,8
2019-08-01,ALTA RIBAGORÇA,37,05,7
2019-08-01,ANOIA,568,06,3
2019-08-01,BAGES,858,07,7
2019-08-01,BAIX CAMP,1590,08,5
2019-08-01,BAIX EBRE,538,09,1
2019-08-01,BAIX EMPORDA,1422,10,18
2019-08-01,BAIX LLOBREGAT,3686,11,6
2019-08-01,BAIX PENEDES,1269,12,3
2019-08-01,BERGUEDA,232,14,11
2019-08-01,CERDANYA,172,15,8
2019-08-01,CONCA DE BARBERA,160,16,2
2019-08-01,GARRAF,1273,17,5
2019-08-01,GARROTXA,239,19,6
2019-08-01,GIRONES,841,20,6
2019-08-01,MARESME,2546,21,5
2019-08-01,MONTSIA,359,22,1
2019-08-01,NOGUERA,159,23,2
2019-08-01,OSONA,589,24,5
2019-08-01,PALLARS JUSSA,92,25,9
2019-08-01,PALLARS SOBIRA,65,26,13
2019-08-01,PRIORAT,57,29,4
2019-08-01,RIBERA D'EBRE,124,30,1
2019-08-01,RIPOLLES,183,31,19
2019-08-01,SEGRIA,947,33,1
2019-08-01,SELVA,1543,34,10
2019-08-01,SOLSONES,65,35,4
2019-08-01,TARRAGONES,2704,36,9
2019-08-01,TERRA ALTA,55,37,2
2019-08-01,VAL D'ARAN,39,39,18
2019-08-01,VALLES OCCIDENTAL,4068,40,10
2019-08-01,VALLES ORIENTAL,1652,41,2
2019-09-01,ALT CAMP,226,01,3
2019-09-01,ALT EMPORDA,953,02,9
2019-09-01,ALT URGELL,94,04,5
2019-09-01,ALTA RIBAGORÇA,16,05,2
2019-09-01,ANOIA,520,06,4
2019-09-01,BAGES,803,07,1
2019-09-01,BAIX CAMP,1368,08,2
2019-09-01,BAIX EBRE,438,09,1
2019-09-01,BAIX EMPORDA,863,10,13
2019-09-01,BAIX LLOBREGAT,3654,11,14
2019-09-01,BAIX PENEDES,874,12,1
2019-09-01,BARCELONES,13515,13,1
2019-09-01,BERGUEDA,161,14,8
2019-09-01,CERDANYA,99,15,9
2019-09-01,CONCA DE BARBERA,105,16,1
2019-09-01,GARRAF,996,17,2
